instance_name,solver_name,support_status,unsupported_constraint_families,notes
Early 1,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Early 1,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Early 1,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Early 1,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 10,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Early 10,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Early 10,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Early 10,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 11,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 11,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 11,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 11,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 12,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 12,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 12,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 12,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
